"STATISTIC Label","Year","Age Group","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration (Persons in April)","2012","0 - 14 years","Male","Emigrants: All destinations","Thousand","4.6"
"Estimated Migration (Persons in April)","2012","0 - 14 years","Female","Emigrants: All destinations","Thousand","5"
"Estimated Migration (Persons in April)","2012","15 - 24 years","Male","Emigrants: All destinations","Thousand","13.6"
"Estimated Migration (Persons in April)","2012","15 - 24 years","Female","Emigrants: All destinations","Thousand","12.4"
"Estimated Migration (Persons in April)","2012","25 - 44 years","Male","Emigrants: All destinations","Thousand","22.7"
"Estimated Migration (Persons in April)","2012","25 - 44 years","Female","Emigrants: All destinations","Thousand","15.8"
"Estimated Migration (Persons in April)","2012","45 - 64 years","Male","Emigrants: All destinations","Thousand","4.1"
"Estimated Migration (Persons in April)","2012","45 - 64 years","Female","Emigrants: All destinations","Thousand","2.7"
"Estimated Migration (Persons in April)","2012","65 years and over","Male","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","2012","65 years and over","Female","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration (Persons in April)","2013","0 - 14 years","Male","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration (Persons in April)","2013","0 - 14 years","Female","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration (Persons in April)","2013","15 - 24 years","Male","Emigrants: All destinations","Thousand","12"
"Estimated Migration (Persons in April)","2013","15 - 24 years","Female","Emigrants: All destinations","Thousand","11.9"
"Estimated Migration (Persons in April)","2013","25 - 44 years","Male","Emigrants: All destinations","Thousand","19.2"
"Estimated Migration (Persons in April)","2013","25 - 44 years","Female","Emigrants: All destinations","Thousand","17.9"
"Estimated Migration (Persons in April)","2013","45 - 64 years","Male","Emigrants: All destinations","Thousand","3.8"
"Estimated Migration (Persons in April)","2013","45 - 64 years","Female","Emigrants: All destinations","Thousand","3.8"
"Estimated Migration (Persons in April)","2013","65 years and over","Male","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2013","65 years and over","Female","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","2014","0 - 14 years","Male","Emigrants: All destinations","Thousand","4.5"
"Estimated Migration (Persons in April)","2014","0 - 14 years","Female","Emigrants: All destinations","Thousand","5.7"
"Estimated Migration (Persons in April)","2014","15 - 24 years","Male","Emigrants: All destinations","Thousand","10.9"
"Estimated Migration (Persons in April)","2014","15 - 24 years","Female","Emigrants: All destinations","Thousand","10.9"
"Estimated Migration (Persons in April)","2014","25 - 44 years","Male","Emigrants: All destinations","Thousand","20.3"
"Estimated Migration (Persons in April)","2014","25 - 44 years","Female","Emigrants: All destinations","Thousand","17.1"
